nom,nombre_chambres,etoiles,note,nombre_avis,lien,iso,ecologique,green_leader,longitude,latitude,ville,pays,continent
NH Vienna Airport Conference Center,499,4,4.0,3053,https://www.nh-hotels.fr/hotel/nh-vienna-airport-conference-center,oui,oui,oui,16.562893,48.121717,Vienne,Autriche,Europe
NH Wien Belvedere,114,4,4.0,1699,https://www.nh-hotels.fr/hotel/nh-wien-belvedere,non,oui,oui,16.383484,48.195623,Vienne,Autriche,Europe
NH Wien City,105,4,4.0,1614,https://www.nh-hotels.fr/hotel/nh-wien-city,non,oui,oui,16.35463,48.19993,Vienne,Autriche,Europe
NH Collection Antwerp Centre,186,4,4.5,177,https://www.nh-hotels.fr/hotel/nh-collection-antwerp-centre,non,non,non,4.420431,51.214506,Anvers,Belgique,Europe
NH Brugge,149,4,4.0,2906,https://www.nh-hotels.fr/hotel/nh-brugge,non,oui,oui,3.216863,51.203894,Bruges,Belgique,Europe
NH Brussels Airport,234,4,4.0,1166,https://www.nh-hotels.fr/hotel/nh-brussels-airport,non,oui,oui,4.448333,50.8875,Bruxelles,Belgique,Europe
NH Brussels Carrefour Europe,65,4,4.0,1304,https://www.nh-hotels.fr/hotel/nh-brussels-carrefour-de-l-europe,non,oui,oui,4.35532,50.846384,Bruxelles,Belgique,Europe
NH Brussels EU Berlaymont,214,4,3.5,1171,https://www.nh-hotels.fr/hotel/nh-brussels-eu-berlaymont,non,oui,non,4.382512,50.844769,Bruxelles,Belgique,Europe
NH Brussels Grand Place Arenberg,155,4,4.0,2244,https://www.nh-hotels.fr/hotel/nh-brussels-grand-place-arenberg,non,oui,oui,4.35761,50.84853,Bruxelles,Belgique,Europe
NH Brussels Louise,246,4,3.5,1706,https://www.nh-hotels.fr/hotel/nh-brussels-louise,non,oui,oui,4.35690125880979,50.8328632751195,Bruxelles,Belgique,Europe
NH Brussels Stéphanie,67,4,4.0,1304,https://www.nh-hotels.fr/hotel/nh-brussels-stephanie,non,oui,oui,4.35523,50.83391,Bruxelles,Belgique,Europe
NH Collection Brussels Centre,241,4,4.5,1759,https://www.nh-hotels.fr/hotel/nh-collection-brussels-centre,non,oui,oui,4.354121,50.852235,Bruxelles,Belgique,Europe
NH Collection Brussels Grand Sablon,196,4,4.5,1167,https://www.nh-hotels.fr/hotel/nh-collection-brussels-grand-sablon,non,oui,oui,4.355902778,50.84094722,Bruxelles,Belgique,Europe
nhow Brussels Bloom,305,4,4.0,4529,https://www.nh-hotels.fr/hotel/nhow-brussels-bloom,non,oui,non,4.366389,50.855278,Bruxelles,Belgique,Europe
NH Gent Belfort,174,4,4.0,2810,https://www.nh-hotels.fr/hotel/nh-gent-belfort,non,oui,oui,3.725495,51.054749,Gand,Belgique,Europe
NH Mechelen,43,3,4.0,506,https://www.nh-hotels.fr/hotel/nh-mechelen,non,oui,oui,4.4758,51.02439,Malines,Belgique,Europe
NH Campo de Gibraltar,100,4,4.0,503,https://www.nh-hotels.fr/hotel/nh-campo-de-gibraltar,non,non,non,-5.434681,36.187005,Algeciras,Espagne,Europe
NH Alicante,100,4,4.0,918,https://www.nh-hotels.fr/hotel/nh-alicante,non,non,non,-0.507218,38.336395,Alicante,Espagne,Europe
NH Collection Palacio de Aranjuez,86,4,4.5,1323,https://www.nh-hotels.fr/hotel/nh-collection-palacio-de-aranjuez,oui,oui,non,-3.60862,40.033694,Aranjuez,Espagne,Europe
NH Collection Palacio de Avilés,78,5,4.5,1624,https://www.nh-hotels.fr/hotel/nh-collection-palacio-de-aviles,non,non,non,-5.922534,43.555288,Aviles,Espagne,Europe
NH Gran Hotel Casino Extremadura,58,5,4.5,1375,https://www.nh-hotels.fr/hotel/nh-gran-hotel-casino-extremadura,non,non,non,-6.983682,38.884030,Badajoz,Espagne,Europe
NH Barcelona Diagonal Center,129,3,4.0,1025,https://www.nh-hotels.fr/hotel/nh-barcelona-diagonal-center,non,non,non,2.192077,41.397913,Barcelone,Espagne,Europe
NH Barcelona Eixample,81,3,4.0,1199,https://www.nh-hotels.fr/hotel/nh-barcelona-eixample,non,oui,oui,2.15418808992571,41.3858237283997,Barcelone,Espagne,Europe
NH Barcelona Entenza,48,3,4.0,476,https://www.nh-hotels.fr/hotel/nh-barcelona-entenza,non,non,non,2.140505,41.385664,Barcelone,Espagne,Europe
NH Barcelona Les Corts,81,3,4.0,872,https://www.nh-hotels.fr/hotel/nh-barcelona-les-corts,non,non,non,2.13634,41.38757,Barcelone,Espagne,Europe
NH Barcelona Stadium,106,4,4.0,910,https://www.nh-hotels.fr/hotel/nh-barcelona-stadium,non,oui,oui,2.126993,41.381401,Barcelone,Espagne,Europe
NH Collection Barcelona Constanza,308,4,4.5,2598,https://www.nh-hotels.fr/hotel/nh-collection-barcelona-constanza,oui,oui,oui,2.136275,41.388855,Barcelone,Espagne,Europe
NH Collection Barcelona Gran Hotel Calderón,255,5,4.5,1212,https://www.nh-hotels.fr/hotel/nh-collection-barcelona-gran-hotel-calderon,oui,oui,oui,2.16604,41.3893025,Barcelone,Espagne,Europe
NH Collection Barcelona Pódium,140,4,4.5,1126,https://www.nh-hotels.fr/hotel/nh-collection-barcelona-podium,oui,oui,oui,2.177894,41.391548,Barcelone,Espagne,Europe
NH Porta Barcelona,99,3,4.0,616,https://www.nh-hotels.fr/hotel/nh-porta-barcelona,non,oui,oui,2.07912,41.377195,Barcelone,Espagne,Europe
NH Sant Boi,124,3,4.0,567,https://www.nh-hotels.fr/hotel/nh-sant-boi,non,non,non,2.032084,41.324474,Barcelone,Espagne,Europe
NH Sants Barcelona,203,4,4.0,1798,https://www.nh-hotels.fr/hotel/nh-sants-barcelona,oui,oui,oui,2.137730,41.384529,Barcelone,Espagne,Europe
NH Bilbao Deusto,71,3,4.0,336,https://www.nh-hotels.fr/hotel/nh-bilbao-deusto,non,oui,oui,-2.942265,43.270527,Bilbao,Espagne,Europe
NH Collection Villa de Bilbao,142,4,4.5,2693,https://www.nh-hotels.fr/hotel/nh-collection-villa-de-bilbao,oui,oui,oui,-2.944575,43.264975,Bilbao,Espagne,Europe
NH La Avanzada,120,4,3.5,561,https://www.nh-hotels.fr/hotel/nh-la-avanzada,non,non,non,-2.996564,43.331047,Bilbao,Espagne,Europe
NH Collection Palacio de Burgos,110,4,4.5,2252,https://www.nh-hotels.fr/hotel/nh-collection-palacio-de-burgos,non,non,non,-3.703846 ,42.338592,Burgos,Espagne,Europe
NH Collection Cáceres Palacio de Oquendo,86,4,4.5,2042,https://www.nh-hotels.fr/hotel/nh-collection-caceres-palacio-de-oquendo,non,oui,oui,-6.372859 ,39.473575,Cáceres,Espagne,Europe
